global step=211336, episodic return=-79.0
global step=211628, episodic return=-78.0
global step=211660, episodic return=-91.0
global step=211712, episodic return=-93.0
global step=212000, episodic return=-92.0
global step=212056, episodic return=-85.0
global step=212076, episodic return=-103.0
global step=212376, episodic return=-93.0
global step=212412, episodic return=-83.0
global step=212676, episodic return=-334.0
global step=212712, episodic return=-83.0
global step=212748, episodic return=-83.0
global step=212756, episodic return=-174.0
global step=213096, episodic return=-104.0
global step=213104, episodic return=-97.0
global step=213144, episodic return=-98.0
global step=213184, episodic return=-106.0
global step=213484, episodic return=-94.0
global step=213484, episodic return=-96.0
global step=213544, episodic return=-99.0
global step=213624, episodic return=-109.0
global step=213872, episodic return=-96.0
global step=213892, episodic return=-86.0
global step=214012, episodic return=-131.0
global step=214032, episodic return=-101.0
global step=214240, episodic return=-91.0
global step=214280, episodic return=-96.0
global step=214360, episodic return=-81.0
global step=214480, episodic return=-116.0
global step=214548, episodic return=-76.0
global step=214660, episodic return=-94.0
global step=214744, episodic return=-95.0
global step=214824, episodic return=-85.0
global step=214864, episodic return=-78.0
global step=215012, episodic return=-87.0
global step=215108, episodic return=-90.0
global step=215160, episodic return=-83.0
global step=215264, episodic return=-99.0
global step=215292, episodic return=-69.0
global step=215556, episodic return=-111.0
global step=215572, episodic return=-102.0
global step=215892, episodic return=-79.0
global step=215952, episodic return=-98.0
global step=215976, episodic return=-177.0
global step=216248, episodic return=-88.0
global step=216344, episodic return=-97.0
global step=216364, episodic return=-96.0
global step=216584, episodic return=-83.0
global step=216644, episodic return=-74.0
global step=216728, episodic return=-90.0
global step=216960, episodic return=-93.0
global step=216964, episodic return=-79.0
global step=217108, episodic return=-94.0
global step=217292, episodic return=-500.0
global step=217300, episodic return=-83.0
global step=217356, episodic return=-98.0
global step=217524, episodic return=-103.0
global step=217688, episodic return=-98.0
global step=217700, episodic return=-99.0
global step=217708, episodic return=-87.0
global step=218040, episodic return=-82.0
global step=218040, episodic return=-84.0
global step=218096, episodic return=-101.0
global step=218196, episodic return=-167.0
global step=218336, episodic return=-73.0
global step=218452, episodic return=-102.0
global step=218464, episodic return=-91.0
global step=218504, episodic return=-76.0
global step=218800, episodic return=-83.0
global step=218856, episodic return=-100.0
global step=218876, episodic return=-92.0
global step=219056, episodic return=-179.0
global step=219136, episodic return=-83.0
global step=219184, episodic return=-81.0
global step=219264, episodic return=-96.0
global step=219412, episodic return=-88.0
global step=219528, episodic return=-65.0
global step=219564, episodic return=-106.0
global step=219572, episodic return=-96.0
global step=219788, episodic return=-93.0
global step=219912, episodic return=-86.0
global step=219916, episodic return=-96.0
global step=219944, episodic return=-92.0
global step=220132, episodic return=-85.0
global step=220328, episodic return=-103.0
global step=220360, episodic return=-103.0
global step=220436, episodic return=-129.0
global step=220596, episodic return=-115.0
global step=220712, episodic return=-95.0
global step=220732, episodic return=-92.0
global step=220856, episodic return=-104.0
global step=220960, episodic return=-90.0
global step=221100, episodic return=-91.0
global step=221144, episodic return=-107.0
global step=221148, episodic return=-72.0
global step=221284, episodic return=-80.0
global step=221556, episodic return=-102.0
global step=221648, episodic return=-90.0
global step=221652, episodic return=-137.0
global step=221808, episodic return=-164.0
global step=221884, episodic return=-81.0
global step=221948, episodic return=-73.0
global step=222044, episodic return=-98.0
global step=222220, episodic return=-102.0
global step=222240, episodic return=-88.0
global step=222448, episodic return=-124.0
global step=222484, episodic return=-109.0
global step=222544, episodic return=-80.0
global step=222700, episodic return=-114.0
global step=222764, episodic return=-78.0
global step=222812, episodic return=-81.0
global step=222916, episodic return=-92.0
global step=223080, episodic return=-94.0
global step=223120, episodic return=-88.0
global step=223216, episodic return=-100.0
global step=223272, episodic return=-88.0
global step=223508, episodic return=-96.0
global step=223548, episodic return=-82.0
global step=223628, episodic return=-136.0
global step=223652, episodic return=-94.0
global step=223868, episodic return=-79.0
global step=223992, episodic return=-84.0
global step=224024, episodic return=-98.0
global step=224096, episodic return=-146.0
global step=224320, episodic return=-112.0
global step=224372, episodic return=-86.0
global step=224420, episodic return=-106.0
global step=224540, episodic return=-110.0
global step=224652, episodic return=-82.0
global step=224728, episodic return=-88.0
global step=224760, episodic return=-84.0
global step=224876, episodic return=-83.0
global step=225072, episodic return=-85.0
global step=225072, episodic return=-104.0
global step=225120, episodic return=-89.0
global step=225240, episodic return=-90.0
global step=225424, episodic return=-87.0
global step=225452, episodic return=-94.0
global step=225460, episodic return=-84.0
global step=225608, episodic return=-91.0
global step=225740, episodic return=-69.0
global step=225744, episodic return=-79.0
global step=225820, episodic return=-91.0
global step=226020, episodic return=-102.0
global step=226040, episodic return=-73.0
global step=226156, episodic return=-83.0
global step=226216, episodic return=-118.0
global step=226336, episodic return=-78.0
global step=226380, episodic return=-84.0
global step=226532, episodic return=-78.0
global step=226604, episodic return=-111.0
global step=226636, episodic return=-74.0
global step=226700, episodic return=-79.0
global step=226852, episodic return=-79.0
global step=226928, episodic return=-72.0
