global step=41376, episodic return=261.0
global step=41468, episodic return=500.0
global step=41764, episodic return=247.0
global step=42172, episodic return=336.0
global step=42468, episodic return=250.0
global step=42592, episodic return=304.0
global step=42620, episodic return=214.0
global step=42988, episodic return=204.0
global step=43136, episodic return=136.0
global step=43400, episodic return=103.0
global step=43568, episodic return=275.0
global step=43788, episodic return=292.0
global step=44008, episodic return=218.0
global step=44228, episodic return=110.0
global step=44780, episodic return=345.0
global step=44872, episodic return=326.0
global step=45020, episodic return=253.0
global step=45144, episodic return=229.0
global step=45768, episodic return=224.0
global step=45796, episodic return=254.0
global step=45936, episodic return=229.0
global step=46400, episodic return=151.0
global step=46436, episodic return=125.0
global step=46824, episodic return=264.0
global step=47016, episodic return=468.0
global step=47128, episodic return=173.0
global step=47420, episodic return=149.0
global step=47620, episodic return=151.0
global step=47836, episodic return=359.0
global step=48248, episodic return=157.0
global step=48448, episodic return=330.0
global step=48540, episodic return=280.0
global step=48756, episodic return=230.0
global step=49324, episodic return=219.0
global step=49344, episodic return=274.0
global step=49364, episodic return=206.0
global step=50084, episodic return=332.0
global step=50348, episodic return=256.0
global step=50436, episodic return=273.0
global step=50612, episodic return=44.0
global step=50672, episodic return=327.0
global step=51048, episodic return=175.0
global step=51108, episodic return=109.0
global step=51148, episodic return=266.0
global step=51336, episodic return=181.0
global step=52188, episodic return=285.0
global step=52460, episodic return=338.0
global step=52612, episodic return=319.0
global step=52808, episodic return=87.0
global step=52852, episodic return=166.0
global step=53148, episodic return=500.0
global step=53432, episodic return=205.0
global step=53692, episodic return=221.0
global step=53848, episodic return=249.0
global step=54628, episodic return=299.0
global step=54760, episodic return=228.0
global step=54816, episodic return=417.0
global step=55524, episodic return=224.0
global step=55528, episodic return=192.0
global step=55692, episodic return=500.0
global step=56028, episodic return=125.0
global step=56624, episodic return=452.0
global step=56852, episodic return=206.0
global step=56876, episodic return=338.0
global step=56976, episodic return=321.0
global step=57460, episodic return=209.0
global step=57596, episodic return=180.0
global step=57700, episodic return=181.0
global step=57940, episodic return=272.0
global step=58092, episodic return=158.0
global step=58588, episodic return=222.0
global step=58588, episodic return=162.0
global step=58928, episodic return=333.0
global step=58996, episodic return=226.0
global step=59368, episodic return=195.0
global step=59388, episodic return=115.0
global step=60168, episodic return=200.0
global step=60180, episodic return=296.0
global step=60588, episodic return=500.0
global step=61064, episodic return=119.0
global step=61188, episodic return=255.0
global step=61388, episodic return=500.0
global step=61944, episodic return=441.0
global step=62136, episodic return=268.0
global step=62264, episodic return=219.0
global step=62356, episodic return=292.0
global step=62656, episodic return=178.0
global step=63104, episodic return=242.0
global step=63240, episodic return=244.0
global step=63324, episodic return=242.0
global step=63920, episodic return=204.0
global step=64332, episodic return=103.0
global step=64404, episodic return=270.0
global step=64656, episodic return=500.0
global step=64892, episodic return=413.0
global step=65216, episodic return=221.0
global step=65312, episodic return=105.0
global step=65468, episodic return=266.0
global step=65652, episodic return=249.0
global step=66312, episodic return=274.0
global step=67164, episodic return=424.0
global step=67312, episodic return=500.0
global step=67348, episodic return=259.0
global step=67652, episodic return=500.0
global step=67668, episodic return=126.0
global step=67920, episodic return=143.0
global step=68036, episodic return=181.0
global step=68344, episodic return=106.0
global step=68396, episodic return=186.0
global step=68736, episodic return=267.0
global step=69080, episodic return=261.0
global step=69152, episodic return=189.0
global step=69240, episodic return=224.0
global step=69724, episodic return=247.0
global step=69836, episodic return=149.0
global step=70272, episodic return=280.0
global step=70512, episodic return=197.0
global step=70864, episodic return=257.0
global step=71024, episodic return=486.0
global step=71184, episodic return=228.0
global step=71540, episodic return=257.0
global step=71680, episodic return=164.0
global step=72100, episodic return=140.0
global step=72124, episodic return=315.0
global step=72540, episodic return=339.0
global step=72660, episodic return=134.0
global step=72892, episodic return=303.0
global step=73004, episodic return=226.0
global step=73156, episodic return=154.0
global step=73296, episodic return=159.0
global step=73480, episodic return=147.0
global step=73924, episodic return=157.0
global step=74000, episodic return=249.0
global step=74372, episodic return=223.0
global step=74700, episodic return=386.0
global step=74980, episodic return=245.0
global step=75308, episodic return=234.0
global step=75576, episodic return=149.0
global step=75924, episodic return=500.0
global step=76032, episodic return=181.0
global step=76064, episodic return=341.0
global step=76388, episodic return=203.0
global step=76868, episodic return=236.0
global step=76904, episodic return=210.0
global step=77172, episodic return=196.0
global step=77364, episodic return=333.0
global step=77552, episodic return=162.0
global step=77756, episodic return=222.0
global step=78156, episodic return=246.0
global step=78320, episodic return=141.0
global step=78588, episodic return=306.0
global step=78648, episodic return=123.0
global step=78996, episodic return=361.0
global step=79308, episodic return=247.0
global step=79340, episodic return=188.0
global step=79708, episodic return=265.0
global step=79760, episodic return=191.0
global step=80452, episodic return=278.0
global step=80624, episodic return=216.0
global step=80680, episodic return=343.0
global step=81144, episodic return=173.0
global step=81344, episodic return=180.0
global step=81412, episodic return=426.0
global step=81860, episodic return=179.0
global step=81864, episodic return=130.0
global step=82132, episodic return=363.0
global step=82492, episodic return=270.0
global step=82536, episodic return=169.0
global step=82552, episodic return=172.0
global step=82812, episodic return=170.0
global step=83000, episodic return=127.0
global step=83116, episodic return=141.0
global step=83348, episodic return=203.0
global step=83752, episodic return=159.0
global step=83764, episodic return=238.0
global step=83816, episodic return=204.0
global step=84400, episodic return=263.0
global step=84708, episodic return=223.0
global step=84928, episodic return=294.0
global step=84960, episodic return=140.0
global step=85296, episodic return=383.0
global step=85524, episodic return=149.0
global step=85724, episodic return=254.0
global step=85772, episodic return=62.0
global step=85860, episodic return=141.0
global step=86276, episodic return=329.0
global step=86308, episodic return=112.0
global step=86348, episodic return=156.0
global step=86644, episodic return=218.0
global step=86904, episodic return=139.0
global step=87168, episodic return=215.0
global step=87216, episodic return=143.0
global step=87384, episodic return=277.0
global step=87780, episodic return=219.0
global step=88288, episodic return=268.0
global step=88344, episodic return=240.0
global step=88548, episodic return=192.0
global step=89092, episodic return=136.0
global step=89168, episodic return=500.0
global step=89220, episodic return=219.0
global step=89372, episodic return=271.0
global step=90020, episodic return=232.0
global step=90196, episodic return=206.0
global step=90252, episodic return=271.0
global step=90772, episodic return=388.0
global step=90788, episodic return=192.0
global step=90824, episodic return=143.0
global step=91360, episodic return=147.0
global step=91624, episodic return=209.0
global step=91716, episodic return=223.0
global step=91976, episodic return=445.0
global step=92288, episodic return=143.0
global step=93124, episodic return=375.0
global step=93340, episodic return=341.0
global step=93360, episodic return=500.0
global step=94108, episodic return=455.0
global step=94496, episodic return=289.0
global step=94624, episodic return=375.0
global step=95164, episodic return=264.0
global step=95360, episodic return=500.0
global step=95932, episodic return=327.0
global step=96228, episodic return=266.0
global step=96360, episodic return=250.0
global step=96444, episodic return=487.0
global step=97448, episodic return=305.0
global step=97680, episodic return=437.0
global step=98272, episodic return=457.0
global step=98336, episodic return=164.0
global step=98360, episodic return=500.0
global step=98856, episodic return=130.0
global step=98892, episodic return=361.0
global step=99876, episodic return=379.0
global step=100244, episodic return=347.0
global step=100272, episodic return=500.0
global step=100844, episodic return=242.0
global step=100892, episodic return=500.0
global step=101712, episodic return=217.0
global step=101904, episodic return=408.0
global step=102244, episodic return=500.0
global step=102452, episodic return=137.0
global step=102536, episodic return=411.0
global step=103352, episodic return=277.0
global step=103712, episodic return=500.0
global step=103904, episodic return=363.0
global step=103920, episodic return=346.0
global step=104404, episodic return=121.0
global step=104524, episodic return=293.0
global step=105304, episodic return=398.0
global step=105740, episodic return=334.0
global step=105904, episodic return=500.0
global step=106524, episodic return=500.0
global step=106820, episodic return=270.0
global step=106824, episodic return=380.0
global step=107172, episodic return=317.0
global step=107932, episodic return=352.0
global step=108820, episodic return=500.0
global step=108824, episodic return=500.0
global step=108940, episodic return=442.0
global step=109700, episodic return=442.0
global step=109912, episodic return=272.0
global step=110128, episodic return=327.0
global step=110192, episodic return=123.0
global step=110412, episodic return=368.0
global step=111520, episodic return=332.0
global step=111856, episodic return=486.0
global step=112108, episodic return=424.0
global step=112128, episodic return=500.0
global step=112292, episodic return=193.0
global step=112500, episodic return=161.0
global step=113584, episodic return=323.0
global step=113628, episodic return=282.0
global step=114108, episodic return=500.0
global step=114128, episodic return=500.0
global step=114304, episodic return=169.0
global step=115264, episodic return=240.0
global step=115428, episodic return=325.0
global step=115584, episodic return=500.0
global step=115716, episodic return=402.0
global step=116336, episodic return=155.0
global step=116352, episodic return=192.0
global step=116596, episodic return=292.0
global step=116892, episodic return=407.0
global step=117324, episodic return=247.0
global step=117420, episodic return=206.0
global step=118352, episodic return=500.0
global step=118824, episodic return=375.0
global step=118892, episodic return=500.0
global step=119420, episodic return=500.0
global step=119492, episodic return=285.0
global step=119716, episodic return=206.0
global step=120300, episodic return=146.0
global step=120776, episodic return=488.0
global step=121188, episodic return=442.0
global step=121404, episodic return=276.0
global step=121492, episodic return=500.0
global step=121620, episodic return=108.0
global step=122364, episodic return=397.0
global step=122460, episodic return=264.0
global step=122976, episodic return=371.0
global step=123216, episodic return=189.0
global step=123296, episodic return=419.0
global step=123308, episodic return=236.0
global step=123748, episodic return=193.0
global step=123808, episodic return=148.0
global step=124236, episodic return=232.0
global step=124304, episodic return=252.0
global step=124888, episodic return=270.0
global step=125012, episodic return=316.0
global step=125144, episodic return=210.0
global step=125380, episodic return=286.0
global step=125912, episodic return=225.0
global step=126232, episodic return=213.0
global step=126552, episodic return=352.0
global step=126752, episodic return=130.0
global step=126888, episodic return=500.0
global step=127332, episodic return=355.0
global step=127528, episodic return=194.0
global step=128348, episodic return=449.0
global step=128888, episodic return=500.0
global step=128964, episodic return=408.0
global step=129184, episodic return=414.0
global step=130348, episodic return=500.0
global step=130524, episodic return=390.0
global step=130888, episodic return=500.0
global step=131184, episodic return=500.0
global step=132032, episodic return=377.0
global step=132348, episodic return=500.0
global step=132780, episodic return=399.0
global step=132888, episodic return=500.0
global step=132904, episodic return=218.0
global step=133872, episodic return=381.0
global step=134232, episodic return=363.0
global step=134248, episodic return=336.0
global step=134888, episodic return=500.0
global step=135024, episodic return=288.0
global step=135376, episodic return=282.0
global step=136232, episodic return=500.0
global step=136264, episodic return=344.0
global step=136616, episodic return=310.0
global step=137024, episodic return=500.0
global step=137160, episodic return=224.0
global step=137196, episodic return=145.0
global step=137368, episodic return=284.0
global step=138284, episodic return=281.0
global step=139024, episodic return=500.0
global step=139196, episodic return=500.0
global step=139340, episodic return=493.0
global step=140084, episodic return=222.0
global step=140284, episodic return=500.0
global step=141024, episodic return=500.0
global step=141340, episodic return=500.0
global step=142028, episodic return=486.0
global step=142284, episodic return=500.0
global step=142780, episodic return=439.0
global step=143160, episodic return=283.0
global step=143188, episodic return=226.0
global step=143340, episodic return=500.0
global step=144400, episodic return=303.0
global step=144780, episodic return=500.0
global step=145160, episodic return=500.0
global step=145340, episodic return=500.0
global step=146172, episodic return=443.0
global step=146780, episodic return=500.0
global step=147160, episodic return=500.0
global step=147340, episodic return=500.0
global step=147872, episodic return=425.0
global step=148376, episodic return=304.0
global step=148780, episodic return=500.0
global step=149340, episodic return=500.0
global step=149388, episodic return=379.0
global step=150376, episodic return=500.0
global step=150780, episodic return=500.0
global step=151340, episodic return=500.0
global step=151388, episodic return=500.0
global step=151892, episodic return=379.0
global step=152480, episodic return=425.0
global step=152968, episodic return=395.0
global step=153340, episodic return=500.0
global step=153892, episodic return=500.0
global step=154480, episodic return=500.0
global step=154968, episodic return=500.0
global step=155340, episodic return=500.0
global step=155848, episodic return=342.0
global step=155892, episodic return=500.0
global step=156968, episodic return=500.0
global step=157340, episodic return=500.0
global step=157624, episodic return=444.0
global step=157892, episodic return=500.0
global step=158704, episodic return=341.0
global step=158968, episodic return=500.0
global step=159060, episodic return=359.0
global step=159468, episodic return=394.0
global step=160256, episodic return=388.0
global step=160296, episodic return=207.0
global step=160408, episodic return=337.0
global step=160680, episodic return=428.0
global step=161272, episodic return=244.0
global step=161556, episodic return=325.0
global step=162028, episodic return=337.0
global step=162408, episodic return=500.0
global step=162572, episodic return=325.0
global step=162880, episodic return=331.0
global step=163216, episodic return=202.0
global step=163584, episodic return=389.0
global step=164440, episodic return=390.0
global step=164532, episodic return=490.0
global step=165216, episodic return=500.0
global step=165584, episodic return=500.0
global step=165852, episodic return=330.0
global step=166440, episodic return=500.0
global step=167216, episodic return=500.0
global step=167584, episodic return=500.0
global step=167852, episodic return=500.0
global step=168384, episodic return=486.0
global step=169216, episodic return=500.0
global step=169396, episodic return=253.0
global step=169584, episodic return=500.0
global step=169852, episodic return=500.0
global step=171216, episodic return=500.0
global step=171396, episodic return=500.0
global step=171584, episodic return=500.0
global step=171684, episodic return=458.0
global step=172552, episodic return=289.0
global step=172936, episodic return=338.0
global step=173216, episodic return=500.0
global step=173684, episodic return=500.0
global step=174552, episodic return=500.0
global step=174692, episodic return=252.0
global step=174920, episodic return=496.0
global step=175216, episodic return=500.0
global step=175740, episodic return=131.0
global step=176512, episodic return=455.0
global step=176552, episodic return=500.0
global step=176920, episodic return=500.0
global step=177396, episodic return=414.0
global step=178512, episodic return=500.0
global step=178552, episodic return=500.0
global step=178920, episodic return=500.0
global step=179396, episodic return=500.0
global step=180512, episodic return=500.0
global step=180552, episodic return=500.0
global step=180920, episodic return=500.0
global step=181396, episodic return=500.0
global step=181708, episodic return=289.0
global step=182288, episodic return=444.0
global step=182316, episodic return=349.0
global step=182476, episodic return=270.0
global step=182984, episodic return=319.0
global step=183184, episodic return=224.0
global step=183904, episodic return=357.0
global step=184008, episodic return=423.0
global step=184344, episodic return=340.0
global step=184584, episodic return=350.0
global step=185456, episodic return=388.0
global step=185644, episodic return=409.0
global step=186344, episodic return=500.0
global step=186584, episodic return=500.0
global step=187456, episodic return=500.0
global step=187644, episodic return=500.0
global step=188344, episodic return=500.0
global step=188584, episodic return=500.0
global step=189000, episodic return=104.0
global step=189456, episodic return=500.0
global step=189644, episodic return=500.0
global step=190344, episodic return=500.0
global step=191000, episodic return=500.0
global step=191456, episodic return=500.0
global step=191644, episodic return=500.0
global step=192344, episodic return=500.0
global step=193000, episodic return=500.0
global step=193456, episodic return=500.0
global step=193644, episodic return=500.0
global step=194132, episodic return=447.0
global step=195000, episodic return=500.0
global step=195456, episodic return=500.0
global step=195644, episodic return=500.0
global step=196132, episodic return=500.0
global step=196328, episodic return=332.0
global step=196676, episodic return=87.0
global step=197456, episodic return=500.0
global step=197644, episodic return=500.0
global step=197796, episodic return=280.0
global step=198132, episodic return=500.0
global step=199268, episodic return=406.0
global step=199456, episodic return=500.0
global step=199796, episodic return=500.0
global step=200132, episodic return=500.0
global step=200328, episodic return=218.0
global step=201184, episodic return=214.0
global step=201268, episodic return=500.0
global step=201796, episodic return=500.0
global step=202132, episodic return=500.0
global step=202216, episodic return=237.0
global step=203184, episodic return=500.0
global step=203412, episodic return=299.0
global step=203672, episodic return=469.0
global step=204012, episodic return=207.0
global step=204132, episodic return=500.0
global step=205412, episodic return=500.0
global step=205672, episodic return=500.0
global step=206012, episodic return=500.0
global step=206132, episodic return=500.0
global step=207400, episodic return=497.0
global step=207672, episodic return=500.0
global step=208012, episodic return=500.0
global step=208132, episodic return=500.0
global step=209400, episodic return=500.0
global step=209672, episodic return=500.0
global step=209860, episodic return=462.0
global step=209972, episodic return=460.0
global step=210532, episodic return=283.0
global step=210792, episodic return=233.0
global step=210848, episodic return=219.0
global step=211224, episodic return=388.0
global step=211636, episodic return=276.0
global step=212224, episodic return=358.0
global step=212236, episodic return=347.0
global step=212608, episodic return=243.0
global step=212940, episodic return=429.0
global step=214144, episodic return=477.0
global step=214184, episodic return=490.0
global step=214360, episodic return=438.0
global step=214596, episodic return=414.0
global step=215428, episodic return=267.0
global step=215660, episodic return=369.0
